Akodon lindberghi,,,,,,,,,,,,,,,,,,,
Akodon lutescens,Akodon puer,,,,,,,,,,,,,,,,,,
Akodon mimus,,,,,,,,,,,,,,,,,,,
Akodon molinae,,,,,,,,,,,,,,,,,,,
Akodon mollis,,,,,,,,,,,,,,,,,,,
Akodon montensis,,,,,,,,,,,,,,,,,,,
Akodon mystax,,,,,,,,,,,,,,,,,,,
Akodon orophilus,,,,,,,,,,,,,,,,,,,
Akodon paranaensis,,,,,,,,,,,,,,,,,,,
Akodon pervalens,,,,,,,,,,,,,,,,,,,
Akodon philipmyersi,,,,,,,,,,,,,,,,,,,
Akodon reigi,,,,,,,,,,,,,,,,,,,
Akodon sanctipaulensis,,,,,,,,,,,,,,,,,,,
Akodon serrensis,,,,,,,,,,,,,,,,,,,
Akodon siberiae,,,,,,,,,,,,,,,,,,,
Akodon simulator,,,,,,,,,,,,,,,,,,,
Akodon spegazzinii,Akodon leucolimnaeus,Akodon oenos,,,,,,,,,,,,,,,,,
Akodon subfuscus,,,,,,,,,,,,,,,,,,,
Akodon surdus,,,,,,,,,,,,,,,,,,,
Akodon sylvanus,,,,,,,,,,,,,,,,,,,
Akodon toba,,,,,,,,,,,,,,,,,,,
Akodon torques,,,,,,,,,,,,,,,,,,,
Akodon varius,,,,,,,,,,,,,,,,,,,
Alcelaphus buselaphus,,,,,,,,,,,,,,,,,,,
Alces alces,Cervus alces,,,,,,,,,,,,,,,,,,
Alionycteris paucidentata,,,,,,,,,,,,,,,,,,,
Allactaga balikunica,Allactaga nataliae,,,,,,,,,,,,,,,,,,
Allactaga bullata,,,,,,,,,,,,,,,,,,,
Allactaga elater,,,,,,,,,,,,,,,,,,,
Allactaga euphratica,,,,,,,,,,,,,,,,,,,
Allactaga firouzi,,,,,,,,,,,,,,,,,,,
Allactaga hotsoni,,,,,,,,,,,,,,,,,,,
Allactaga major,Allactaga jaculus,Allactaga jaculus,,,,,,,,,,,,,,,,,
Allactaga severtzovi,Alactaga severtzovi subspecies chorezmi,,,,,,,,,,,,,,,,,,
Allactaga sibirica,Alactaga salicus,Alactaga suschkini,Allactaga alactaga,Allactaga grisescens,Allactaga mongolica,Allactaga semideserta,Dipus brachyurus,Dipus halticus,Dipus saltator,,,,,,,,,,
Allactaga tetradactyla,,,,,,,,,,,,,,,,,,,
Allactaga vinogradovi,,,,,,,,,,,,,,,,,,,
Allactaga williamsi,,,,,,,,,,,,,,,,,,,
Allactodipus bobrinskii,,,,,,,,,,,,,,,,,,,
Allenopithecus nigroviridis,Cercopithecus nigroviridis,,,,,,,,,,,,,,,,,,
Allocebus trichotis,Cheirogaleus trichotis,,,,,,,,,,,,,,,,,,
Allochrocebus lhoesti,Cercopithecus lhoesti,,,,,,,,,,,,,,,,,,
Allochrocebus preussi,Cercopithecus preussi,,,,,,,,,,,,,,,,,,
Allochrocebus solatus,Cercopithecus solatus,,,,,,,,,,,,,,,,,,
Allocricetulus curtatus,,,,,,,,,,,,,,,,,,,
Allocricetulus eversmanni,,,,,,,,,,,,,,,,,,,
Alouatta arctoidea,,,,,,,,,,,,,,,,,,,
Alouatta belzebul,Alouatta belzebul subspecies tapajozensis,Mycetes belzebulsubspecies mexinae,Mycetes bicolor,Mycetes discolor,Mycetes flavimanus,Mycetes rufimanus,Simia beelzebub,Simia belzebul,,,,,,,,,,,
Alouatta caraya,,,,,,,,,,,,,,,,,,,
Alouatta discolor,,,,,,,,,,,,,,,,,,,
Alouatta guariba,Alouatta fusca,,,,,,,,,,,,,,,,,,
Alouatta macconnelli,Alouatta insulanus,,,,,,,,,,,,,,,,,,
Alouatta nigerrima,,,,,,,,,,,,,,,,,,,
Alouatta palliata,,,,,,,,,,,,,,,,,,,
Alouatta pigra,,,,,,,,,,,,,,,,,,,
Alouatta sara,,,,,,,,,,,,,,,,,,,
Alouatta ululata,Alouatta belzebul subspecies ululata,,,,,,,,,,,,,,,,,,
Alticola albicaudus,Alticola albicauda,,,,,,,,,,,,,,,,,,
